X,Year,CrimeType ,CrimeDetails,CrimeCount,State
249,2011,Hurt,Hurt,4,Sikkim
250,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Sikkim
251,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Sikkim
252,2011,Other Crimes Against STs,Other Crimes Against STs,1,Sikkim
253,2011,Total,Total,8,Sikkim
254,2011,Murder,Murder,0,Tamil Nadu
255,2011,Rape,Rape,3,Tamil Nadu
256,2011,Kidnapping Abduction,Kidnapping Abduction,0,Tamil Nadu
257,2011,Dacoity,Dacoity,0,Tamil Nadu
258,2011,Robbery,Robbery,0,Tamil Nadu
259,2011,Arson,Arson,0,Tamil Nadu
260,2011,Hurt,Hurt,15,Tamil Nadu
261,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Tamil Nadu
262,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,4,Tamil Nadu
263,2011,Other Crimes Against STs,Other Crimes Against STs,1,Tamil Nadu
264,2011,Total,Total,23,Tamil Nadu
265,2011,Murder,Murder,1,Tripura
266,2011,Rape,Rape,7,Tripura
267,2011,Kidnapping Abduction,Kidnapping Abduction,0,Tripura
268,2011,Dacoity,Dacoity,0,Tripura
269,2011,Robbery,Robbery,0,Tripura
270,2011,Arson,Arson,0,Tripura
271,2011,Hurt,Hurt,6,Tripura
272,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Tripura
273,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,1,Tripura
274,2011,Other Crimes Against STs,Other Crimes Against STs,15,Tripura
275,2011,Total,Total,30,Tripura
276,2011,Murder,Murder,2,Uttar Pradesh
277,2011,Rape,Rape,0,Uttar Pradesh
278,2011,Kidnapping Abduction,Kidnapping Abduction,0,Uttar Pradesh
279,2011,Dacoity,Dacoity,0,Uttar Pradesh
280,2011,Robbery,Robbery,0,Uttar Pradesh
281,2011,Arson,Arson,0,Uttar Pradesh
282,2011,Hurt,Hurt,0,Uttar Pradesh
283,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Uttar Pradesh
284,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,18,Uttar Pradesh
285,2011,Other Crimes Against STs,Other Crimes Against STs,15,Uttar Pradesh
286,2011,Murder,Murder,0,Uttarakhand
287,2011,Total,Total,33,Uttarakhand
288,2011,Rape,Rape,0,Uttarakhand
289,2011,Kidnapping Abduction,Kidnapping Abduction,0,Uttarakhand
290,2011,Dacoity,Dacoity,0,Uttarakhand
291,2011,Robbery,Robbery,0,Uttarakhand
292,2011,Arson,Arson,0,Uttarakhand
293,2011,Hurt,Hurt,0,Uttarakhand
294,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Uttarakhand
295,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Uttarakhand
296,2011,Other Crimes Against STs,Other Crimes Against STs,0,Uttarakhand
297,2011,Total,Total,33,Uttarakhand
298,2011,Murder,Murder,0,West Bengal
299,2011,Rape,Rape,4,West Bengal
300,2011,Kidnapping Abduction,Kidnapping Abduction,1,West Bengal
301,2011,Dacoity,Dacoity,0,West Bengal
302,2011,Robbery,Robbery,0,West Bengal
303,2011,Arson,Arson,0,West Bengal
304,2011,Hurt,Hurt,0,West Bengal
305,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,West Bengal
306,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,19,West Bengal
